SETTINGS,VALUE,,,
Filename,GW_vs_H+N_county,,,
Vote type,Raw,,,
Color type,Margin,,,
Isolate,AL AR FL GA KY LA MS MO NC OK SC TN TX VA,,,
Borders,FALSE,,,
Separator,FALSE,,,
,,,,
COLORS,VALUE,HEX,,
Orange,0,ffe6d5,,
Orange,1,ffccaa,,
Orange,5,ffb380,,
Orange,10,ff9955,,
Orange,15,ff7f2a,,
Orange,20,ff6600,,
Orange,30,d45500,,
Orange,40,aa4400,,
Orange,50,803300,,
Orange,60,552200,,
Purple,0,f6d5ff,,
Purple,1,f1bfff,,
Purple,5,eeaaff,,
Purple,10,e580ff,,
Purple,15,dd55ff,,
Purple,20,cc00ff,,
Purple,30,aa00d4,,
Purple,40,8800aa,,
Purple,50,660080,,
Purple,60,440055,,
,,,,
CANDIDATES,COLOR,,,
George Wallace,Orange,,,
Humphrey + Nixon,Purple,,,
,,,,
COUNTIES,STATE,George Wallace,Humphrey + Nixon,TOTAL
Autauga,AL,5523,2159,7776
Baldwin,AL,14167,3975,18404
Barbour,AL,5491,2284,7946
Bibb,AL,3746,915,4673
Blount,AL,6536,2344,9086
Bullock,AL,2161,2154,4347
Butler,AL,5601,1740,7361
Calhoun,AL,19211,7207,26775
Chambers,AL,7885,2440,10636
Cherokee,AL,4773,805,5685
Chilton,AL,6611,2168,8902
Choctaw,AL,4250,1817,6093
Clarke,AL,6168,2205,8626
Clay,AL,4048,962,5044
Cleburne,AL,3314,645,3995
Coffee,AL,8885,1753,10766
Colbert,AL,11341,4018,15621
Conecuh,AL,3828,1337,5346
Coosa,AL,2830,953,3811
Covington,AL,11419,1622,13128
Crenshaw,AL,4513,935,5480
Cullman,AL,11063,6079,17265
Dale,AL,8109,1469,9705
Dallas,AL,8798,7762,16636
DeKalb,AL,8144,6588,14859
Elmore,AL,9038,2546,11812
Escambia,AL,8474,2172,10765
Etowah,AL,21416,8964,31186
Fayette,AL,4683,1503,6238
Franklin,AL,5909,3112,9096
Geneva,AL,7871,664,8581
Greene,AL,1555,2409,3969
Hale,AL,2934,2269,5260
Henry,AL,4233,1039,5292
Houston,AL,13872,2462,16536
Jackson,AL,8504,2213,10908
Jefferson,AL,106233,95597,205033
Lamar,AL,5229,666,5925
Lauderdale,AL,13467,5118,18883
Lawrence,AL,6253,1230,7529
Lee,AL,7721,5169,13136
Limestone,AL,8430,1759,10375
Lowndes,AL,1822,1361,3263
Macon,AL,1619,4707,6381
Madison,AL,29823,21217,51953
Marengo,AL,5185,3936,9154
Marion,AL,6415,1857,8403
Marshall,AL,12742,3680,16680
Mobile,AL,61673,29124,91936
Monroe,AL,5217,2048,7324
Montgomery,AL,27202,18834,46525
Morgan,AL,16841,4921,22277
Perry,AL,2768,2765,5553
Pickens,AL,4549,1755,6328
Pike,AL,6038,2223,8341
Randolph,AL,5103,1505,6804
Russell,AL,7584,3411,11245
St. Clair,AL,7050,2504,9697
Shelby,AL,7736,2811,10770
Sumter,AL,2158,2639,4807
Talladega,AL,13505,5034,18756
Tallapoosa,AL,9043,2536,11821
Tuscaloosa,AL,18611,9378,28371
Walker,AL,14416,4599,19385
Washington,AL,4545,1102,5683
Wilcox,AL,2511,1895,4435
Winston,AL,3032,2432,5527
Aleutians East,AK,,,
Aleutians West,AK,,,
Anchorage,AK,,,
Bethel,AK,,,
Bristol Bay,AK,,,
Chugach,AK,,,
Copper River,AK,,,
Denali,AK,,,
Dillingham,AK,,,
Fairbanks North Star,AK,,,
Haines,AK,,,
Hoonah-Angoon,AK,,,
Juneau,AK,,,
Kenai Peninsula,AK,,,
Ketchikan Gateway,AK,,,
Kodiak Island,AK,,,
Kusilvak,AK,,,
Lake and Peninsula,AK,,,
Matanuska-Susitna,AK,,,
Nome,AK,,,
North Slope,AK,,,
Northwest Arctic,AK,,,
Petersburg,AK,,,
Prince of Wales-Hyder,AK,,,
Sitka,AK,,,
Skagway,AK,,,
Southeast Fairbanks,AK,,,
Wrangell,AK,,,
Yakutat,AK,,,
Yukon-Koyukuk,AK,,,
Apache,AZ,,,
Cochise,AZ,,,
Coconino,AZ,,,
Gila,AZ,,,
Graham,AZ,,,
Greenlee,AZ,,,
La Paz,AZ,,,
Maricopa,AZ,,,
Mohave,AZ,,,
Navajo,AZ,,,
